,Country_name,UHC_index_service_coverage,UHC_newborn_and_child_health,UHC_Infectious_diseases,UHC_Non_communicable.diseases,UHC_Service_capacity_and_access,Year,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,Confidence_in_national_government,Democratic_Quality,Delivery_Quality,Standard_deviation_of_ladder_by_country_year,Standard_deviation_Mean_of_ladder_by_country_year,GINI_index_estimate_average_2000-16,gini_of_household_income_by_wp5_year,Completeness_birth_registration_female(%),Completeness_birth_registration_male(%),GDP_per_capita_(constant 2010 US$),Gini_index(2017),Population_density(per_sq_km),Research_and_development_expenditure(%_of_GDP)
109,Tajikistan,68,66,64,57,88,2017,5.829234123,7.971400738,0.662693322,63.79999924,0.832002461,0.122264013,0.71833688,0.602667689,0.277725339,0.92979306,-1.195175648,-1.216368675,2.212850571,0.379612565,0.3266,0.367954314,95.7,95.9,1024.858954,..,63.98348584,0.11536
110,Thailand,80,90,74,69,88,2017,5.938895226,9.69754982,0.877268732,67,0.922896802,0.20539546,0.883816779,0.81632179,0.231597617,0.605078816,-0.902155161,0.045908973,2.243722439,0.377801329,0.396692308,0.513357759,..,..,6135.47196,36.5,135.4691969,1.00403
111,Togo,43,55,44,71,21,2017,4.360805035,7.26529932,0.507805228,54.29999924,0.716694415,-0.042401545,0.725519598,0.614188969,0.425824255,0.48495236,-0.68079555,-0.833462834,2.494830608,0.572103202,0.437666667,0.552189291,..,..,661.1481259,..,141.5421033,..
112,Trinidad and Tobago,74,80,67,71,78,2017,6.191859722,10.26684761,0.916029036,63.5,0.859140456,-0.004832509,0.911336362,0.846467078,0.248098806,0.272540897,0.420911133,-0.046981119,2.276676893,0.367688715,NA,0.415465385,..,..,15261.87227,..,269.7996101,0.09204
113,Tunisia,70,75,61,66,77,2017,4.124342918,9.291855812,0.717381597,66.59999847,0.477956653,-0.23090978,0.868826747,0.420961887,0.377196848,0.250827312,-0.436561465,-0.128948361,2.214817524,0.537011027,0.381,0.414514333,..,..,4343.439878,..,73.59322219,..
114,Turkey,74,82,69,60,90,2017,5.607262135,10.13179111,0.876467824,66.40000153,0.644434214,-0.242938563,0.670910537,0.449800909,0.312846124,0.586161256,-1.252016187,-0.084349804,1.626328588,0.290039688,0.4058,0.326897621,..,..,14874.78254,41.4,105.3777685,0.96105
115,Turkmenistan,70,80,67,51,89,2017,5.229148865,9.704366684,0.908454895,61.79999924,0.720399201,0.04387318,NA,0.52088511,0.349627674,NA,-1.153553963,-1.54598093,1.43217814,0.273883611,NA,0.265776634,..,..,7318.065501,..,12.25218437,..
116,Uganda,45,69,44,72,19,2017,4.000516891,7.437033653,0.739956141,55.29999924,0.772344112,0.069051787,0.81577003,0.703375638,0.400025725,0.655109107,-0.575335741,-0.535237134,2.673379421,0.668258488,0.4322,0.640636981,..,..,910.2697549,..,205.2786006,..
117,Ukraine,68,73,62,59,79,2017,4.311067104,8.973908424,0.858324885,64.30000305,0.598875523,0.017136369,0.936764002,0.597112179,0.234763831,0.11093653,-0.9363603,-0.568998098,2.255383492,0.523161292,0.265,0.421145946,..,..,2988.504215,26,77.38979613,0.44839
118,United Arab Emirates,76,84,69,62,92,2017,7.039419651,11.11681843,0.83552736,66.90000153,0.962016642,0.199402541,NA,0.795034885,0.207598448,NA,-0.234493166,1.085547447,2.030040741,0.288381845,NA,0.600683749,..,..,41460.28345,..,133.5849479,..
119,Uruguay,80,93,68,68,94,2017,6.336009979,9.930685043,0.91380167,68.90000153,0.897851646,-0.101414755,0.626581967,0.835861266,0.280323356,0.413032115,1.114635468,0.737920344,2.288598776,0.361205041,0.427363636,0.399903923,..,..,14437.38469,39.5,19.63573306,0.48393
120,Uzbekistan,73,84,66,64,81,2017,6.421447754,8.740833282,0.942131102,64.80000305,0.985177755,0.116510667,0.464641601,0.838989079,0.202737495,0.964690447,-1.037155151,-1.02081418,2.367688894,0.368715733,0.348,0.445986152,..,..,2290.38133,..,76.13681241,0.15566
121,Zambia,53,70,49,69,34,2017,3.932777405,8.213178635,0.74375391,54.79999924,0.823168576,0.128904432,0.739540637,0.684623301,0.387188882,0.717004061,-0.114061393,-0.48838523,2.650283098,0.673896015,0.5274,0.612799227,..,..,1660.761145,..,22.67139456,..
122,Zimbabwe,54,72,50,68,35,2017,3.63830018,7.549490929,0.754147053,55,0.752826095,-0.069669798,0.751208007,0.806428373,0.224051341,0.682646692,-0.988153279,-1.350866795,2.656847954,0.730244279,0.432,0.581483781,..,..,1263.321322,44.3,36.80171901,..
